web-scraper-order,web-scraper-start-url,Date,Open,High,Low,Close,Volume,Market Cap
"1522069046-248","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Feb 26, 2018","845.28","880.39","842.32","869.32","2,044,480,000","82,705,400,000"
"1522069046-294","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Jan 11, 2018","1,268.09","1,337.30","1,135.17","1,154.93","7,235,900,000","122,879,000,000"
"1522069046-249","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Feb 25, 2018","839.46","853.15","822.38","844.81","1,646,960,000","82,119,100,000"
"1522069046-307","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Dec 29, 2017","740.39","770.12","729.61","753.59","2,648,970,000","71,544,300,000"
"1522069046-286","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Jan 19, 2018","1,028.82","1,093.22","1,003.71","1,039.10","4,084,450,000","99,863,900,000"
"1522069046-238","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Mar 08, 2018","752.57","773.77","696.17","704.60","1,891,640,000","73,788,400,000"
"1522069046-224","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Mar 22, 2018","562.10","577.57","523.09","539.70","1,523,460,000","55,273,800,000"
"1522069046-295","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Jan 10, 2018","1,300.34","1,417.38","1,226.60","1,255.82","9,214,950,000","125,976,000,000"
"1522069046-280","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Jan 25, 2018","1,063.22","1,104.66","1,034.74","1,056.03","4,050,190,000","103,335,000,000"
"1522069046-303","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Jan 02, 2018","772.35","914.83","772.35","884.44","5,783,350,000","74,695,700,000"
"1522069046-241","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Mar 05, 2018","866.85","869.92","853.52","853.68","1,898,490,000","84,939,700,000"
"1522069046-222","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Mar 24, 2018","542.57","545.38","526.08","526.44","1,300,010,000","53,375,400,000"
"1522069046-269","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Feb 05, 2018","834.96","856.65","644.60","697.95","4,269,530,000","81,337,400,000"
"1522069046-229","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Mar 17, 2018","601.68","609.15","549.10","552.78","1,267,810,000","59,104,200,000"
"1522069046-251","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Feb 23, 2018","811.59","886.32","794.79","864.19","2,334,820,000","79,358,900,000"
"1522069046-254","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Feb 20, 2018","943.57","965.27","892.95","895.37","2,545,260,000","92,206,500,000"
"1522069046-288","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Jan 17, 2018","1,061.34","1,090.23","780.92","1,014.25","8,545,160,000","102,974,000,000"
"1522069046-243","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Mar 03, 2018","856.71","868.45","855.21","857.23","1,699,370,000","83,911,700,000"
"1522069046-242","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Mar 04, 2018","856.19","867.95","840.28","866.68","1,697,940,000","83,877,800,000"
