web-scraper-order,web-scraper-start-url,Date,Open,High,Low,Close,Volume,Market Cap
"1520905307-55","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Jan 28, 2018","0.615916","0.640046","0.615448","0.634421","194,610,000","11,005,200,000"
"1520905307-97","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Dec 17, 2017","0.234672","0.300678","0.227982","0.266621","423,361,000","4,189,510,000"
"1520905307-28","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Feb 24, 2018","0.382687","0.386899","0.346156","0.355163","34,738,100","7,067,390,000"
"1520905307-69","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Jan 14, 2018","0.672198","0.672198","0.582819","0.630856","116,460,000","12,025,900,000"
"1520905307-100","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Dec 14, 2017","0.148829","0.209779","0.147458","0.188907","281,635,000","2,656,890,000"
"1520905307-56","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Jan 27, 2018","0.631495","0.639450","0.610086","0.613061","216,913,000","11,283,600,000"
"1520905307-46","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Feb 06, 2018","0.336738","0.374247","0.266352","0.370811","518,085,000","6,208,170,000"
"1520905307-15","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Mar 09, 2018","0.311237","0.315440","0.267454","0.311859","56,838,800","5,757,390,000"
"1520905307-14","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Mar 10, 2018","0.315618","0.320392","0.290070","0.292661","21,963,200","5,838,430,000"
"1520905307-62","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Jan 21, 2018","0.534347","0.534347","0.445113","0.464117","161,687,000","9,560,800,000"
"1520905307-50","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Feb 02, 2018","0.455087","0.455087","0.285878","0.405075","396,784,000","8,387,820,000"
"1520905307-83","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Dec 31, 2017","0.317846","0.364302","0.307454","0.360756","183,768,000","5,676,400,000"
"1520905307-32","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Feb 20, 2018","0.452845","0.455373","0.399315","0.402289","104,842,000","8,362,940,000"
"1520905307-70","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Jan 13, 2018","0.681853","0.721316","0.643237","0.671564","189,183,000","12,198,400,000"
"1520905307-37","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Feb 15, 2018","0.452048","0.463623","0.444260","0.453556","106,142,000","8,334,660,000"
"1520905307-96","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Dec 18, 2017","0.273167","0.278075","0.257238","0.276283","201,721,000","4,876,760,000"
"1520905307-86","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Dec 28, 2017","0.227821","0.228361","0.200481","0.223544","75,925,400","4,068,660,000"
"1520905307-44","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Feb 08, 2018","0.344930","0.373893","0.344930","0.363565","121,448,000","6,357,810,000"
"1520905307-65","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Jan 18, 2018","0.479522","0.570070","0.453596","0.509523","472,047,000","8,579,040,000"
"1520905307-57","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Jan 26, 2018","0.602163","0.645780","0.553197","0.633916","787,644,000","10,759,400,000"
"1520905307-53","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Jan 30, 2018","0.590831","0.590831","0.475736","0.489648","178,893,000","10,557,100,000"
"1520905307-19","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Mar 05, 2018","0.363777","0.398224","0.352031","0.352031","98,523,700","6,718,270,000"
"1520905307-81","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Jan 02, 2018","0.496876","0.593645","0.472748","0.564766","676,667,000","8,873,700,000"
"1520905307-84","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Dec 30, 2017","0.316473","0.390380","0.289056","0.323202","537,916,000","5,651,880,000"
"1520905307-31","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Feb 21, 2018","0.399718","0.433562","0.379845","0.396765","132,189,000","7,381,920,000"
"1520905307-67","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Jan 16, 2018","0.600117","0.600117","0.323407","0.441197","466,139,000","10,736,400,000"
"1520905307-61","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Jan 22, 2018","0.465901","0.529766","0.432834","0.486338","442,542,000","8,336,150,000"
"1520905307-22","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Mar 02, 2018","0.338691","0.340805","0.318850","0.320107","38,378,100","6,254,990,000"
"1520905307-45","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Feb 07, 2018","0.368956","0.380924","0.337244","0.342125","188,328,000","6,800,610,000"
"1520905307-51","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Feb 01, 2018","0.540834","0.542970","0.429680","0.456455","172,407,000","9,967,480,000"
"1520905307-88","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Dec 26, 2017","0.228649","0.232918","0.210969","0.226018","96,759,300","4,083,400,000"
"1520905307-71","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Jan 12, 2018","0.558864","0.715440","0.534755","0.677960","394,376,000","9,998,070,000"
"1520905307-93","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Dec 21, 2017","0.252894","0.280786","0.240672","0.257200","199,122,000","4,516,350,000"
"1520905307-74","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Jan 09, 2018","0.628026","0.649552","0.568159","0.585653","208,330,000","11,229,100,000"
"1520905307-75","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Jan 08, 2018","0.695952","0.695952","0.555769","0.629323","249,426,000","12,442,100,000"
"1520905307-73","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Jan 10, 2018","0.588565","0.588565","0.483044","0.566930","249,019,000","10,523,600,000"
"1520905307-25","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Feb 27, 2018","0.364632","0.372450","0.354834","0.362051","38,136,100","6,733,960,000"
"1520905307-16","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Mar 08, 2018","0.329847","0.341127","0.306218","0.311938","47,233,100","6,091,740,000"
"1520905307-24","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Feb 28, 2018","0.360410","0.364738","0.333916","0.333916","38,961,000","6,656,080,000"
"1520905307-18","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Mar 06, 2018","0.351753","0.366554","0.335254","0.337911","44,141,000","6,496,220,000"
"1520905307-58","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Jan 25, 2018","0.567863","0.649971","0.556165","0.608253","627,336,000","10,146,600,000"
"1520905307-41","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Feb 11, 2018","0.406615","0.406615","0.357825","0.370005","85,791,700","7,494,820,000"
"1520905307-52","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Jan 31, 2018","0.488731","0.555212","0.440520","0.539797","288,693,000","8,732,980,000"
