web-scraper-order	web-scraper-start-url	Date	Open	High	Low	Close	Volume	Market Cap
1520901503-2	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	10-Mar-18	0.854872	0.860443	0.793736	0.796627	"402,670,000"	"33,418,600,000"
1520901503-45	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	26-Jan-18	1.31	1.33	1.14	1.22	"2,037,570,000"	"50,706,400,000"
1520901503-62	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	9-Jan-18	2.44	2.53	1.98	2.1	"3,694,700,000"	"94,657,500,000"
1520901503-38	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	2-Feb-18	0.960642	0.960642	0.635185	0.884784	"3,529,760,000"	"37,473,900,000"
1520901503-15	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	25-Feb-18	0.951977	0.967597	0.915279	0.943487	"360,271,000"	"37,217,300,000"
1520901503-81	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	21-Dec-17	0.782515	1.24	0.782515	1.19	"3,626,110,000"	"30,314,000,000"
1520901503-67	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	4-Jan-18	3.12	3.84	3.12	3.2	"8,103,660,000"	"120,763,000,000"
1520901503-34	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	6-Feb-18	0.705121	0.786004	0.58836	0.776393	"2,361,140,000"	"27,506,200,000"
1520901503-72	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	30-Dec-17	2.2	2.85	2.04	2.16	"8,108,390,000"	"85,187,400,000"
1520901503-3	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	9-Mar-18	0.826122	0.856182	0.751485	0.849761	"989,203,000"	"32,294,700,000"
1520901503-6	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	6-Mar-18	0.954448	0.991306	0.916863	0.922887	"875,180,000"	"37,311,200,000"
1520901503-12	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	28-Feb-18	0.944697	0.95555	0.903787	0.904583	"329,530,000"	"36,932,700,000"
1520901503-11	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	1-Mar-18	0.904131	0.953796	0.89063	0.928347	"475,257,000"	"35,346,800,000"
1520901503-22	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	18-Feb-18	1.2	1.21	1.09	1.12	"1,113,650,000"	"46,997,500,000"
1520901503-86	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	16-Dec-17	0.755493	0.815923	0.741667	0.758642	"1,334,770,000"	"29,267,100,000"
1520901503-8	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	4-Mar-18	0.906008	1.03	0.895618	1.01	"797,226,000"	"35,417,600,000"
1520901503-33	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	7-Feb-18	0.774576	0.805478	0.70695	0.723895	"1,133,370,000"	"30,215,600,000"
1520901503-24	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	16-Feb-18	1.14	1.15	1.11	1.14	"568,339,000"	"44,663,300,000"
